127.0.0.1 - - [15/Mar/2017:09:31:42 +0100] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:42 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:42 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:42 +0100] "GET /ProxiBanqueSIv2/css/justified-nav.css HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:42 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:42 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:49 +0100] "GET /ProxiBanqueSIv2/ HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:49 +0100] "GET /ProxiBanqueSIv2/css/justified-nav.css HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:49 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:49 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:49 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:49 +0100] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:54 +0100] "GET /ProxiBanqueSIv2/index.html HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:31:56 +0100] "GET /ProxiBanqueSIv2/login.jsp HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:13 +0100] "GET /ProxiBanqueSIv2/login.jsp HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:43 +0100] "GET /ProxiBanqueSIv2/index.html HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:43 +0100] "GET /ProxiBanqueSIv2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:43 +0100] "GET /ProxiBanqueSIv2/css/styleIndex.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:43 +0100] "GET /ProxiBanqueSIv2/css/justified-nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:43 +0100] "GET /ProxiBanqueSIv2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:44 +0100] "GET /ProxiBanqueSIv2/Login.jsp HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:32:44 +0100] "GET /ProxiBanqueSIv2/css/login.css HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [15/Mar/2017:09:33:18 +0100] "GET /ProxiBanqueSIv2/Login.jsp HTTP/1.1" 200 1399
